Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Sub-Category,Product Name,Sales,Order Date Shamsi,Ship Date Shamsi,lag_1_sales,cat_Furniture,cat_Office Supplies,cat_Technology,order_month
7981,CA-2015-103800,2015-01-03,2015-01-07,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095.0,Central,OFF-PA-10000174,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,1393/10/13,1393/10/17,,False,True,False,1
740,CA-2015-112326,2015-01-04,2015-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540.0,Central,OFF-LA-10003223,Labels,Avery 508,11.784,1393/10/14,1393/10/18,16.448,False,True,False,1
742,CA-2015-112326,2015-01-04,2015-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540.0,Central,OFF-BI-10004094,Binders,GBC Standard Plastic Binding Systems Combs,3.54,1393/10/14,1393/10/18,11.784,False,True,False,1
741,CA-2015-112326,2015-01-04,2015-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540.0,Central,OFF-ST-10002743,Storage,SAFCO Boltless Steel Shelving,272.736,1393/10/14,1393/10/18,3.54,False,True,False,1
1760,CA-2015-141817,2015-01-05,2015-01-12,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-AR-10003478,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,1393/10/15,1393/10/22,272.736,False,True,False,1
5328,CA-2015-130813,2015-01-06,2015-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049.0,West,OFF-PA-10002005,Paper,Xerox 225,19.44,1393/10/16,1393/10/18,19.536,False,True,False,1
7181,CA-2015-106054,2015-01-06,2015-01-07,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605.0,South,OFF-AR-10002399,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,1393/10/16,1393/10/17,19.44,False,True,False,1
7476,CA-2015-167199,2015-01-06,2015-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,OFF-BI-10004632,Binders,Ibico Hi-Tech Manual Binding System,609.98,1393/10/16,1393/10/20,12.78,False,True,False,1
7477,CA-2015-167199,2015-01-06,2015-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,OFF-AR-10001662,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,1393/10/16,1393/10/20,609.98,False,True,False,1
7478,CA-2015-167199,2015-01-06,2015-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,TEC-PH-10004977,Phones,GE 30524EE4,391.98,1393/10/16,1393/10/20,5.48,False,False,True,1
